TRANSLATOR,SOURCE_LANG,TARGET_LANG,HOURLY_RATE,MANUFACTURER_INDUSTRY,TASK_TYPE,PM,FORECAST_mean,HOURLY_RATE_mean,QUALITY_EVALUATION_mean,SOURCE_LANG_EMBED,TARGET_LANG_EMBED,INDUSTRY_EMBED
Anatolio Ildefonso,English,Spanish_Global,19.142857142857142,"Technology Hardware, Storage & Peripherals",Translation,PMT,8.476896551724137,19.413793103448278,7.068965517241379,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Anatolio Josue,English,Spanish_Iberian,21.0,Media,Translation,BMT,11.71,21.0,8.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.00075253  0.03990512  0.02345059 -0.08116265  0.0102003  -0.05442809
 -0.00140942 -0.01548254 -0.02527768 -0.03298864]"
Anatolio Rita,English,Spanish_LA,18.0,Multi-Sector Holdings,ProofReading,RMT,6.153571428571429,15.410714285714286,6.839285714285714,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.03585797 -0.07145234  0.13904646 -0.04206239 -0.0399279   0.0584859
 -0.03363704 -0.02196086  0.07698956  0.13915524]","[ 0.0596035   0.01109511 -0.01069049 -0.05085004 -0.00800642 -0.04550217
  0.01320571 -0.01837562  0.02556455 -0.0088336 ]"
Ane,English,Basque,18.5,Communications Equipment,Translation,RMT,1.4714,25.78,7.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.0335264  -0.05219751  0.01576343 -0.0135119  -0.03927745  0.0086725
  0.00030478  0.02644572  0.03676897  0.0274001 ]","[-0.00962669  0.01952609 -0.02710957 -0.01522655  0.00232967  0.1162122
  0.0648564  -0.07636858  0.04060648  0.08880821]"
Aniano,German,Spanish_Global,16.4,Health Care Facilities,Translation,BMT,12.5425,18.875,6.5,"[-0.01313859 -0.04253142  0.02580829 -0.02932405 -0.03889363 -0.04045099
  0.05458819  0.02515613 -0.04223937  0.03846855]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Anika Rosalia,English,Spanish_Iberian,13.0,"Technology Hardware, Storage & Peripherals",Translation,BMT,3.72875,14.625,7.25,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Antônia,English,Portuguese_Iberian,15.0,Application Software,ProofReading,BMT,1.3399999999999999,15.0,5.5,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07015002 -0.06886983  0.12402785 -0.06617782 -0.00552985  0.07221255
 -0.02090187  0.02845905  0.03614025  0.14539152]","[-0.05101885  0.01330057  0.06103686 -0.02278463  0.02485974  0.02418976
 -0.02673537 -0.0733524  -0.09887369  0.06420951]"
Aouatif,Spanish_Iberian,Arabic,25.0,Health Care Facilities,Translation,RMT,0.5033333333333333,25.0,6.666666666666667,"[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.02086549 -0.02379055  0.00802869  0.03439631  0.00194821 -0.08754287
 -0.02276828 -0.02573539  0.00027001  0.06326765]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Araceli Gisela,English,Spanish_Iberian,15.0,Health Care Equipment,ProofReading,RMT,5.742857142857143,15.714285714285714,7.428571428571429,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.05109702 -0.10462613 -0.02211872  0.03214601 -0.0092169   0.15899825
  0.00144943  0.08180737  0.08490199  0.04844176]"
Ariadna,English,Catalan,18.5,Application Software,Translation,BMT,4.606071428571428,16.714285714285715,6.857142857142857,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[-0.05101885  0.01330057  0.06103686 -0.02278463  0.02485974  0.02418976
 -0.02673537 -0.0733524  -0.09887369  0.06420951]"
Ariadna Laurina,English,Spanish_Iberian,13.692307692307692,"Technology Hardware, Storage & Peripherals",ProofReading,BMT,3.767518248175182,14.781021897810218,7.0583941605839415,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Ariadna Salvio,English,Spanish_Iberian,19.857142857142858,Trading Companies & Distributors,Translation,PMT,15.059999999999999,20.333333333333332,7.444444444444445,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.01989399  0.08402714 -0.0744723  -0.02723608 -0.02650884 -0.06130442
 -0.00825088  0.0008051   0.02731935 -0.03058985]"
Aritza,English,Basque,18.0,Communications Equipment,Miscellaneous,RMT,5.62,23.0,5.5,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.0335264  -0.05219751  0.01576343 -0.0135119  -0.03927745  0.0086725
  0.00030478  0.02644572  0.03676897  0.0274001 ]","[-0.00962669  0.01952609 -0.02710957 -0.01522655  0.00232967  0.1162122
  0.0648564  -0.07636858  0.04060648  0.08880821]"
Artemio Ramon,English,Portuguese_Brazil,16.0,Trading Companies & Distributors,Translation,PMT,4.461250000000001,18.75,7.25,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.06135342 -0.02564566  0.11521641 -0.0583253   0.00413268  0.08215768
 -0.00474831  0.0214661   0.00995734  0.16249001]","[-0.01989399  0.08402714 -0.0744723  -0.02723608 -0.02650884 -0.06130442
 -0.00825088  0.0008051   0.02731935 -0.03058985]"
Arturo,English,Spanish_Iberian,16.22222222222222,"Technology Hardware, Storage & Peripherals",Translation,BMT,1.5647826086956522,16.536231884057973,6.811594202898551,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Arturo Conrado,English,Spanish_Iberian,13.0,Health Care Facilities,ProofReading,PMT,4.995,13.0,6.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Aurelio Cayo,English,Catalan,15.4,Trading Companies & Distributors,ProofReading,PMT,3.313058823529412,17.96470588235294,6.988235294117647,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[-0.01989399  0.08402714 -0.0744723  -0.02723608 -0.02650884 -0.06130442
 -0.00825088  0.0008051   0.02731935 -0.03058985]"
Ava,Spanish_Iberian,English,22.0,Health Care Facilities,Translation,RMT,3.8499999999999996,22.0,8.0,"[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Baldomero Enith,English,Spanish_Global,16.666666666666668,Trading Companies & Distributors,Translation,PMT,6.995454545454545,17.272727272727273,7.212121212121212,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[-0.01989399  0.08402714 -0.0744723  -0.02723608 -0.02650884 -0.06130442
 -0.00825088  0.0008051   0.02731935 -0.03058985]"
Balduino,English,Spanish_Global,16.0,"Technology Hardware, Storage & Peripherals",Translation,BMT,1.4846428571428572,15.75,7.089285714285714,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Baptiste,Spanish_Iberian,French,26.4,Health Care Facilities,Translation,RMT,10.488888888888887,29.0,7.0,"[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.02795416 -0.02213892  0.07758144 -0.05319271 -0.04560148 -0.01487877
  0.01912314  0.00993574 -0.00545423  0.05513928]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Bartolome,English,Spanish_LA,14.25,"Technology Hardware, Storage & Peripherals",ProofReading,BMT,3.167892095357591,14.234629861982434,6.96486825595985,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.03585797 -0.07145234  0.13904646 -0.04206239 -0.0399279   0.0584859
 -0.03363704 -0.02196086  0.07698956  0.13915524]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Basileo,English,Spanish_Iberian,21.3,Application Software,Translation,BMT,11.248425531914894,21.459574468085105,7.0212765957446805,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.05101885  0.01330057  0.06103686 -0.02278463  0.02485974  0.02418976
 -0.02673537 -0.0733524  -0.09887369  0.06420951]"
Benedicto Dimas,English,English,20.0,Communications Equipment,Translation,RMT,3.118648648648649,20.135135135135137,6.108108108108108,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[-0.00962669  0.01952609 -0.02710957 -0.01522655  0.00232967  0.1162122
  0.0648564  -0.07636858  0.04060648  0.08880821]"
Bernarda,English,Spanish_Global,17.5,"Technology Hardware, Storage & Peripherals",Translation,BMT,7.237857142857143,19.94047619047619,7.226190476190476,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Berto,English,Spanish_Global,13.0,Automobiles,ProofReading,BMT,11.42,13.0,8.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[ 0.08045845 -0.01581908 -0.007455   -0.01380522  0.00964674 -0.02798142
  0.01228993 -0.02930834  0.04264663 -0.00346497]"
Biel,English,Spanish_Iberian,16.333333333333332,Automobiles,Translation,BMT,11.44,17.333333333333332,7.25,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.08045845 -0.01581908 -0.007455   -0.01380522  0.00964674 -0.02798142
  0.01228993 -0.02930834  0.04264663 -0.00346497]"
